place_data_id,place_title,place_rating,place_reviews_count,place_price,place_type,review_user,review_rating,review_text,review_date,review_likes
0x880fd00d95d69657:0xda4a27ea17ff42a1,Trattoria Demi,4.7,1149,$$,Italian restaurant,"{'name': 'Luke Mielty', 'link': 'https://www.google.com/maps/contrib/114424372319355463970?hl=en-GB', 'contributor_id': '114424372319355463970', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUWZUDdWs_C6akCjhcK-YG4eejB5RhMEUQrJgAa1rUWB2HU1tEm=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 116, 'photos': 801}",4.0,"Overall good restaurant. The atmosphere is great, and we were able to find a table immediately. The pasta was fantastic, some of the best I’ve had, but I wouldn’t recommend the pizza. Come here for the pasta however and you’ll have a great time.",a month ago,
0x880fd00d95d69657:0xda4a27ea17ff42a1,Trattoria Demi,4.7,1149,$$,Italian restaurant,"{'name': 'Shane', 'link': 'https://www.google.com/maps/contrib/115499231826241206577?hl=en-GB', 'contributor_id': '115499231826241206577', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjV2eIbQj3FgpQ0y6df0SxMnhxXwvbjNdbyyWlI50LcyxIxJPwUc=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 475, 'photos': 222}",5.0,"Trattoria Demi has become our new favorite Italian restaurant. The staff is friendly, efficient, & helpful. Everything we've tried on the menu has been great, with a couple items definitely shining above the rest. The portions are larger than expected for the prices & delivered to the table hot. The Asiago stuffed gnocchi & homemade lasagna are the must try menu items! The vino pours are fantastic as well!",6 months ago,
0x880fd00d95d69657:0xda4a27ea17ff42a1,Trattoria Demi,4.7,1149,$$,Italian restaurant,"{'name': 'Vladimir Radivojevic', 'link': 'https://www.google.com/maps/contrib/113458838403159072113?hl=en-GB', 'contributor_id': '113458838403159072113', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXfSJzyCJtFymwGeU9rTTF9OgmfkbVFBDf88GbKX_XYTq5DMdRq=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 111, 'photos': 47}",5.0,This is a wonderful Italian restaurant in downtown Evanston. It's quaint and has all the charm of a Italian restaurant like back in the home country. The food is excellent! My wife and I have been to many restaurants and this one meets all the expectations of a fine restaurant that is worth every penny. Be sure to put this place in your list! Venite a gustare il cibo!,7 months ago,
0x880fd00d95d69657:0xda4a27ea17ff42a1,Trattoria Demi,4.7,1149,$$,Italian restaurant,"{'name': 'Debbie Powell', 'link': 'https://www.google.com/maps/contrib/109005621580388930424?hl=en-GB', 'contributor_id': '109005621580388930424', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocK47A01inVxesG39w8oPRSABgAcd9M7vnxnCGf0GPcTSALKOQ=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 15, 'photos': 0}",5.0,"I recently had the pleasure of dining at Trattoria Demi, and it was an outstanding experience from start to finish. As this was my first visit, I was thrilled with how it exceeded my expectations.

**Food:** The culinary offerings were spectacular. Each dish was a delightful celebration of flavors, beautifully presented and cooked to perfection. The signature pasta was fresh and bursting with authentic Italian tastes, showcasing the restaurant's attention to detail.

**Service:** The service was impeccable. From the moment I walked in, the staff made me feel welcomed and valued. They were attentive without being intrusive, and ensuring a seamless dining experience.

**Atmosphere:** The ambiance was equally impressive. The warm decor and soft lighting created a cozy yet elegant setting, perfect for enjoying a leisurely meal. The vibrant atmosphere added to the enjoyment.

Overall, my experience at Trattoria Demi was the best I’ve ever had at a restaurant. I left with a full stomach and a big smile, eagerly anticipating my next visit. If you’re looking for exquisite food, stellar service, and a delightful atmosphere, I highly recommend Trattoria Demi!",2 weeks ago,
0x880fd00d95d69657:0xda4a27ea17ff42a1,Trattoria Demi,4.7,1149,$$,Italian restaurant,"{'name': 'JM', 'link': 'https://www.google.com/maps/contrib/114676101411900563910?hl=en-GB', 'contributor_id': '114676101411900563910', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocIRqHz1Wmakr_ZswJWZ-_xeryUZ8Zena0oMLy5AOdXR8IjxFBOl=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 92, 'photos': 237}",5.0,"They served you free breads which is delicious and crunchy outside, soft inside.  The food portion is big.  We ordered small size and barely cannot finish it.  It’s not expensive but the food is nice and served very fast!",4 months ago,
0x880fd00d95d69657:0xda4a27ea17ff42a1,Trattoria Demi,4.7,1149,$$,Italian restaurant,"{'name': 'Joe Finn', 'link': 'https://www.google.com/maps/contrib/103192898604843551937?hl=en-GB', 'contributor_id': '103192898604843551937', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXmdtElUkcVAoxtBldppZnh5Du9XcKu_SW23UxHO-6k3PbLteYXfw=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 42, 'photos': 57}",2.0,"Quiet, relaxed, comfortable lunch spot. Good quality bread on the sandwiches; though, the chicken was overcooked, and generally the flavors were a bit bland.",3 months ago,
0x880fd00d95d69657:0xda4a27ea17ff42a1,Trattoria Demi,4.7,1149,$$,Italian restaurant,"{'name': 'Joe Giunta', 'link': 'https://www.google.com/maps/contrib/116567087462925841189?hl=en-GB', 'contributor_id': '116567087462925841189', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVOMhnjn7piDVeBfCUH7p_5SALbwnaDz-j4Uw0B0emA_5CMMlLj=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 12, 'photos': 1}",5.0,"Great little place, with great atmosphere.  Food was delicious.  Service was prompt and friendly.  I would definitely bring the family here to eat.",a month ago,
0x880fd00d95d69657:0xda4a27ea17ff42a1,Trattoria Demi,4.7,1149,$$,Italian restaurant,"{'name': 'Rebecca Warner', 'link': 'https://www.google.com/maps/contrib/109145143365435551499?hl=en-GB', 'contributor_id': '109145143365435551499', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXvZHKbZ4Bz9vlJ1atwAfb4rnyJ1nF5aqtzmsh_CT5qBkKqA3Q=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 4, 'photos': 1}",5.0,We happened upon this place in Evanston.  The staff were incredibly welcoming & kind as well as attentive throughout our entire experience.  Our food was delicious & reasonably priced.  I highly recommend stopping in if you are in the area!,2 months ago,
0x880fd0130adf905f:0x968b9c0eb2cdc6a3,Blind Faith Cafe,4.5,945,$$,Restaurant,"{'name': 'Bronwyn Stoddard', 'link': 'https://www.google.com/maps/contrib/107338190496909683121?hl=en-US', 'contributor_id': '107338190496909683121', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjV6g1MmGSQMuLYlt-JwT16W3OCagRGp5A8uHfFMu8zB8cGUsYzr=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 28, 'photos': 22}",5.0,"I had an evening to myself while staying in Evanston, so I took myself out to dinner at Blind Faith.

It was great! Good portions, lots of choices, and a team that obviously cares about being there.

I had the bibimbap (well seasoned, delicious, very filling), and orange mojito (strong, refreshing, not too sweet), and the chocolate peanut butter cake with raspberry sorbet (rich and satisfying, and decadent for breakfast the next day).",2 months ago,
0x880fd0130adf905f:0x968b9c0eb2cdc6a3,Blind Faith Cafe,4.5,945,$$,Restaurant,"{'name': 'Judy Case', 'link': 'https://www.google.com/maps/contrib/116912703731372125615?hl=en-US', 'contributor_id': '116912703731372125615', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocLETB9FRMmQJUOoqefbGdA-2GnPzDSCuST1_pY7q3qDtiSJ-A=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 102, 'photos': 11}",4.0,"I love this place, the food is excellent. The portions are great. Prices are super high, there are many options for vegans and vegetarians. Our waiter was nice but he forgot about us a few times and there wasn't that many people in the restaurant. I highly recommend this place, hoping you don't get the same waiter.",2 weeks ago,
